"MATNO","SESSION","GST111","GST112","CHM111","CHM113","MTH110","MTH112","PHY111","PHY113","GST121","GST122","GST123","CHM122","CHM124","MTH123","MTH125","PHY109","PHY124","FEES","PROBATION","OTHERS"
"ENG1102514",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102515",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102516",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102517",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102518",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102519",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102521",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102522",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102523",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102524",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102525",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG0902537",2011,"0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0",1,2,"0"
"ENG1002514",2011,"0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0",1,1,"0"
"ENG1002517",2011,"1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0",1,1,"0"
"ENG1002519",2011,"0","0","0","1","0","1","1","1","0","0","0","0","0","1","1","0","0",1,1,"0"
"ENG1002522",2011,"0","0","1","1","1","1","0","1","0","0","0","0","1","1","0","0","0",1,1,"0"
"ENG1002524",2011,"0","0","1","0","0","1","0","0","0","0","0","1","1","0","1","0","1",1,1,"0"
"ENG1002530",2011,"1","0","1","1","0","0","0","0","0","1","0","1","1","0","0","0","1",1,1,"0"
"ENG1002532",2011,"0","0","0","1","0","1","1","0","0","1","0","1","1","1","0","0","1",1,1,"0"
"ENG1002537",2011,"0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0",1,1,"0"
"ENG1002547",2011,"0","0","0","0","0","1","1","0","0","1","0","1","1","0","1","0","1",1,1,"0"
"ENG0902537",2009,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1206391",2012,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1206126",2012,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1206124",2012,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1206123",2012,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1206122",2012,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1206121",2012,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1206120",2012,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1206118",2012,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1203055",2012,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102526",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102527",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102528",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102529",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102530",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102531",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102532",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102533",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102534",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102535",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102536",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102537",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1102538",2011,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
