"MATNO","SESSION","A","B","C","D","E","F","G","H","I","J","EMA481","MEE411","MEE421","MEE431","MEE441","MEE451","MEE461","MEE471","ELA401","CED300","UBT400","FEES","PROBATION","OTHERS"
"ENG0702259",2012,"EEE211","CVE311","EEE317","PRE311",,,,,,,1,0,1,1,1,1,1,0,1,1,,1,0,"0"
"ENG0801899",2012,"EMA281","EEE317","MEE321","PRE311",,,,,,,1,0,1,1,1,0,1,1,1,1,,1,0,"0"
"ENG0801910",2012,"EEE211","CVE311","EEE317","PRE311",,,,,,,1,0,1,1,1,0,1,1,1,1,,1,0,"0"
"ENG0801917",2012,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,1,0,"Temporary Withdrawal"
"ENG0801982",2012,"ECP281","CVE311","MEE351",,,,,,,,1,1,1,1,1,1,0,1,1,1,,1,0,"0"
"ENG0902503",2012,"ECP281","EEE317","MEE321","PRE311",,,,,,,1,1,1,0,1,0,1,1,1,1,,1,0,"0"
"ENG0902505",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902506",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902509",2012,"MTH110","MEE311",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902510",2012,"ECP281","PRE311",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902511",2012,"EEE317",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902512",2012,"ECP281","EEE211","EEE317","MEE321","PRE311",,,,,,0,0,1,1,1,1,1,0,1,1,,1,0,"0"
"ENG0902513",2012,"EEE317","MEE321","PRE311",,,,,,,,1,1,1,1,1,1,1,0,1,1,,1,0,"0"
"ENG0902514",2012,"EMA281","EEE317","MEE321","MEE361",,,,,,,1,1,1,1,1,1,1,0,1,0,,1,0,"0"
"ENG0902516",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902517",2012,"EEE317","PRE311",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902518",2012,"MEE361","PRE311",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902519",2012,"ECP281",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902521",2012,"MEE321",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902523",2012,"ECP281","MEE321",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902524",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902526",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902528",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902531",2012,"ECP281","MEE321","PRE311",,,,,,,,1,1,1,0,1,1,1,1,1,1,,1,0,"0"
"ENG0902532",2012,"EMA281","MEE211","CVE311","MEE321","PRE311",,,,,,1,0,1,0,1,0,1,1,1,1,,1,0,"0"
